FGIN (kg/hr),FGIN_CO2MASSFRAC,SOLVENTIN (kg/hr),STRIPPER_PRESSURE (kPa),SOLVENTAMINECONC,SOLVENTCO2LOADING,CO2CAPTUREPERC,SRD (MJ/kg CO2)
2864.404843,0.1813,5657.629419,191.870393,0.281168,0.174714,69.930604,3.451998
2076.641714,0.184702,5203.613949,189.350562,0.338483,0.180854,97.290568,3.414747
2491.365565,0.205102,4757.422193,180.354612,0.287337,0.222671,53.162306,3.331175
2433.237915,0.206576,5911.880907,192.803819,0.287889,0.219358,66.925343,3.403431
2404.064394,0.195214,6601.958311,195.941103,0.326651,0.264528,72.453615,3.377275
2699.082561,0.201289,6730.016934,195.4108,0.297034,0.12446,94.956948,3.964175
2434.102844,0.173247,5627.257447,197.568308,0.304577,0.262937,65.716073,3.381251
2208.977269,0.180904,6115.89488,193.163088,0.314452,0.243121,82.710938,3.427451
2729.153972,0.207684,6679.99643,183.857903,0.337968,0.210856,77.852706,3.360026
2197.68361,0.176392,6407.4577,195.807452,0.325352,0.254301,86.289609,3.445552
2360.600104,0.175979,4553.331946,181.209434,0.316141,0.211892,69.123892,3.320659
2025.13694,0.178271,6723.902758,195.213893,0.341265,0.120657,99.981845,6.64178
2639.451501,0.207308,5440.825245,181.592495,0.330618,0.298701,45.678775,3.23874
2817.125793,0.208747,4541.061183,182.612032,0.329722,0.228638,48.372086,3.231524
2975.74209,0.189985,4779.863331,186.433667,0.308197,0.100575,73.75723,4.88827
2886.850889,0.201888,6842.047895,194.2267,0.322831,0.186798,80.797849,3.404128
2353.024612,0.176957,5890.330596,191.360415,0.297595,0.208862,83.54375,3.459687
2550.427041,0.179944,5744.85443,180.765795,0.327489,0.253113,68.246813,3.347163
2471.607053,0.19413,6821.56773,196.907818,0.342036,0.250239,80.042344,3.379896
2451.165197,0.191782,4608.353516,194.341161,0.328927,0.140667,80.876954,3.4988
2444.096414,0.18525,5232.478552,189.241993,0.340999,0.144152,95.095703,3.600175
2287.064302,0.200718,5946.246767,199.696979,0.294358,0.162727,89.305188,3.447651
2205.810361,0.207092,4906.1729,182.785029,0.319423,0.213686,68.617601,3.292692
2687.747971,0.189217,5580.060657,180.270033,0.312585,0.119274,90.54871,4.402867
2666.796996,0.174524,6473.049764,182.406228,0.347971,0.233316,84.18988,3.399233
2893.284432,0.204294,5306.330593,184.180633,0.288282,0.241295,47.681047,3.347568
2565.690324,0.195491,5336.182526,199.892992,0.328035,0.130898,89.161796,3.642847
2065.107438,0.194587,6078.863597,194.701881,0.295187,0.151194,99.648349,3.770705
2771.694877,0.178,6795.15758,185.128771,0.331618,0.113004,99.885096,5.534192
