,0,1,2,3,4,5
0,79.931435,-91.37865,278.3458,-66.22485,-144.19691,-120.84488
1,94.582245,-110.10992,300.8567,-73.11867,-152.05132,-125.41921
2,85.885605,-98.1704,299.2175,-71.19216,-155.06975,-129.99739
3,87.259796,-99.91246,301.5615,-71.87913,-155.94972,-130.558
4,92.54158,-106.33635,314.34235,-75.22922,-161.8603,-135.14842
5,73.96548,-84.616325,256.793,-61.13261,-132.89908,-111.301575
6,101.51534,-114.83136,375.2238,-88.30013,-196.59392,-166.01509
7,104.4355,-118.784904,372.10513,-88.11146,-194.04385,-163.31714
8,95.5073,-110.56375,312.69635,-75.474976,-159.38446,-132.2193
9,85.89002,-100.33718,268.96695,-65.61988,-134.93253,-110.60035
10,107.12147,-123.775406,353.9702,-85.26302,-180.93675,-150.3827
11,89.97311,-101.7761,335.0388,-78.815155,-175.45778,-148.21397
12,81.34667,-92.42115,291.44708,-68.91341,-152.12305,-128.09349
13,94.21727,-106.66829,345.23126,-81.32502,-180.78975,-152.587
14,100.05553,-113.37235,363.0728,-85.6386,-190.10966,-160.41222
15,97.00606,-110.72163,371.44797,-88.047485,-192.93825,-163.63539
16,94.619514,-107.48416,339.12753,-80.19324,-177.08513,-149.16327
17,95.700294,-110.008865,324.45834,-77.68349,-166.98286,-139.37932
18,91.54417,-103.73887,342.68762,-80.747574,-179.18858,-151.50475
19,86.73082,-98.38803,326.0057,-76.86773,-170.24901,-143.97746
20,83.088455,-94.23336,300.0793,-70.82989,-156.9394,-132.31006
21,76.19791,-87.76109,256.0701,-61.41514,-131.38304,-109.43264
22,106.660065,-123.0925,354.5869,-85.29139,-181.55768,-151.06174
23,86.590866,-97.94937,320.336,-75.36868,-167.795,-141.6703
24,92.13782,-106.60332,302.52957,-72.97113,-154.32234,-128.08342
25,97.92853,-112.7542,329.34653,-79.00371,-169.14671,-141.00336
26,106.08274,-120.421,381.3794,-90.129234,-199.32547,-167.99362
27,106.19588,-120.43985,383.36206,-90.51539,-200.56342,-169.1409
28,94.74466,-108.09889,332.81857,-79.05112,-172.90164,-145.17569
29,82.493935,-94.619385,282.7624,-67.52178,-145.90335,-121.97543
30,92.40509,-106.29988,312.19022,-74.80261,-160.4998,-133.87491
31,91.48199,-105.13964,310.51373,-74.3178,-159.82019,-133.40034
32,94.66799,-110.33125,299.5993,-72.90135,-151.06844,-124.3675
33,113.98216,-130.7881,389.71973,-93.13937,-201.07388,-168.11066
34,88.5444,-100.747665,315.08737,-74.616066,-164.1874,-138.10957
35,89.40093,-103.50187,292.67963,-70.63637,-149.13734,-123.68622
36,82.723145,-95.62282,272.9512,-65.75266,-139.38461,-115.75739
37,81.478325,-93.71561,275.56238,-66.00188,-141.6679,-118.15808
38,104.53298,-119.23347,367.6137,-87.30109,-191.0671,-160.48166
39,104.15131,-119.19312,360.6145,-85.93833,-186.67583,-156.39975
40,90.9033,-102.78483,337.60165,-79.39711,-176.89305,-149.39786
41,87.57932,-99.21862,318.65125,-75.12937,-166.82394,-140.7529
42,78.86872,-90.44279,270.6591,-64.607605,-139.67178,-116.76642
43,109.58537,-125.179756,382.77017,-91.0369,-198.5881,-166.60995
44,89.959404,-102.71762,314.93475,-74.85476,-163.44153,-137.13853
45,88.56739,-100.53083,318.60922,-75.274895,-166.49808,-140.30632
46,93.97358,-108.47746,312.10815,-75.08324,-159.72963,-132.85193
47,103.84993,-119.96836,343.58615,-82.733055,-175.66719,-146.01862
48,104.34892,-120.74195,342.39325,-82.60815,-174.66557,-144.98047
49,101.884895,-115.99141,361.49432,-85.67668,-188.30147,-158.37337
50,85.029686,-98.21587,281.60574,-67.77905,-143.95435,-119.6326
51,99.44558,-114.5432,333.8602,-80.11693,-171.37318,-142.80855
52,96.76797,-109.824524,348.25452,-82.27827,-182.0416,-153.43805
53,87.98135,-101.264496,296.48602,-71.08086,-152.31747,-126.99219
54,106.57264,-122.51085,361.21567,-86.49449,-185.90804,-155.18419
55,95.18846,-109.54394,373.46933,-89.14667,-192.65071,-164.01154
56,95.32428,-108.55919,362.39514,-85.74988,-188.6346,-159.84265
57,94.36733,-110.01563,298.23788,-72.5955,-150.27928,-123.645424
58,80.96275,-92.81039,278.2817,-66.40884,-143.69016,-120.17596
59,100.80213,-114.89454,355.72488,-84.40852,-185.03258,-155.48463
60,85.09368,-99.09072,270.15057,-65.67492,-136.4739,-112.53742
61,91.73927,-106.93907,290.1222,-70.610664,-146.22386,-120.33162
62,112.75414,-129.70657,380.83517,-91.27057,-195.84537,-163.39954
63,84.06326,-95.72013,298.14188,-70.65328,-155.2156,-130.48709
64,104.05963,-119.66364,352.11176,-84.34567,-181.13647,-151.15488
65,100.83582,-116.24165,337.11832,-80.979,-172.85855,-143.94942
66,80.809845,-93.33055,267.7837,-64.44447,-136.91432,-113.79709
67,99.174774,-112.49215,357.83688,-84.4939,-187.16711,-157.81778
68,105.6971,-121.55783,357.4392,-85.63969,-183.87646,-153.4476
69,103.929634,-119.17012,356.58594,-85.148674,-184.12587,-154.01427
70,92.47953,-107.591736,295.0471,-71.649925,-149.30153,-123.27631
71,83.498795,-95.801704,285.79437,-68.26643,-147.40321,-123.19326
72,87.65054,-99.83635,310.37653,-73.58224,-161.53961,-135.7838
73,99.82143,-115.783455,323.5758,-78.287155,-164.47331,-136.19893
74,81.10221,-92.33355,287.86932,-68.20526,-149.89023,-126.02049
75,84.82247,-98.507744,273.2816,-66.2077,-138.63264,-114.646614
76,94.25473,-107.71716,328.59326,-78.176254,-170.35378,-142.84769
77,100.140976,-113.55463,361.80283,-85.4055,-189.30336,-159.65094
78,106.80259,-121.995224,373.13907,-88.74069,-193.59967,-162.42856
79,91.41787,-104.76248,314.63065,-75.06696,-162.54462,-135.99553
80,91.99855,-104.2212,334.81345,-78.9388,-175.2956,-147.9078
81,107.272934,-122.769585,371.3485,-88.50218,-192.231,-161.05492
82,94.29153,-106.64442,349.22665,-82.157936,-182.95972,-154.49773
83,80.45438,-93.30924,261.043,-63.13301,-132.67351,-109.84852
84,93.797005,-107.47615,363.42218,-86.42586,-188.1302,-159.83447
85,93.97434,-108.6794,309.23273,-74.5526,-157.85104,-131.0732
86,84.74202,-99.0697,264.4535,-64.573044,-132.45355,-108.41818
87,89.35248,-104.49542,278.45386,-68.018364,-139.35516,-113.987
88,111.36116,-127.70374,381.85748,-91.20087,-197.16957,-164.92711
89,92.622086,-105.62274,326.17862,-77.426605,-169.5413,-142.39651
