w,G,lldg,L
0.175,2000,0.25,4536
0.175,2000,0.25,6154
0.175,2000,0.25,7772
0.175,2000,0.25,9390
0.175,2000,0.3,5162
0.175,2000,0.3,6965
0.175,2000,0.3,8768
0.175,2000,0.3,10571
0.175,2500,0.1,4664
0.175,2500,0.1,6523
0.175,2500,0.1,8382
0.175,2500,0.15,3650
0.175,2500,0.15,5562
0.175,2500,0.15,7474
0.175,2500,0.15,9386
0.175,2500,0.2,4495
0.175,2500,0.2,6460
0.175,2500,0.2,8424
0.175,2500,0.2,10389
0.175,2500,0.25,5340
0.175,2500,0.25,7358
0.175,2500,0.25,9375
0.175,2500,0.25,11392
0.175,2500,0.3,6185
0.175,2500,0.3,8255
0.175,2500,0.3,10326
0.175,2700,0.1,5042
0.175,2700,0.1,7219
0.175,2700,0.1,9397
0.175,2700,0.15,3797
0.175,2700,0.15,5974
0.175,2700,0.15,8152
0.175,2700,0.15,10329
0.175,2700,0.2,4729
0.175,2700,0.2,6907
0.175,2700,0.2,9084
0.175,2700,0.2,11261
0.175,2700,0.25,5662
0.175,2700,0.25,7839
0.175,2700,0.25,10016
0.175,2700,0.3,6594
0.175,2700,0.3,8772
0.175,2700,0.3,10949
