X1,X2,X3,X4,Y1
7001,2000,0.175,0.3,6.379724238
8030,2000,0.175,0.3,6.810776482
3230,2250,0.175,0.1,6.151992859
3267,2250,0.125,0.15,4.789552994
3012,2250,0.1417,0.15,4.544396974
3385,2250,0.1417,0.15,4.404812654
3757,2250,0.1417,0.15,4.387521039
3377,2250,0.1583,0.15,4.989809412
3810,2250,0.1583,0.15,4.824276933
4244,2250,0.1583,0.15,4.736235856
3248,2250,0.175,0.15,6.134372472
3743,2250,0.175,0.15,5.787314751
4239,2250,0.175,0.15,5.480759914
4734,2250,0.175,0.15,5.395795162
3470,2250,0.125,0.2,4.770773153
3984,2250,0.125,0.2,4.756778012
4498,2250,0.125,0.2,4.791476346
3316,2250,0.1417,0.2,4.428023235
3904,2250,0.1417,0.2,4.356985975
4491,2250,0.1417,0.2,4.373157256
5079,2250,0.1417,0.2,4.518911208
3013,2250,0.1583,0.2,5.210972505
3674,2250,0.1583,0.2,4.826848369
4335,2250,0.1583,0.2,4.728786938
4996,2250,0.1583,0.2,4.679477937
5657,2250,0.1583,0.2,4.882404916
3298,2250,0.175,0.2,6.085426955
4033,2250,0.175,0.2,5.603013086
4768,2250,0.175,0.2,5.37727215
5503,2250,0.175,0.2,4.993933351
6238,2250,0.175,0.2,5.272421104
3579,2250,0.125,0.25,4.66799814
4295,2250,0.125,0.25,4.676777511
5012,2250,0.125,0.25,4.919537124
5729,2250,0.125,0.25,6.084222535
3190,2250,0.1417,0.25,4.805577406
3993,2250,0.1417,0.25,4.591763436
4795,2250,0.1417,0.25,4.504642864
5598,2250,0.1417,0.25,5.126813286
6401,2250,0.1417,0.25,6.392907172
3516,2250,0.1583,0.25,5.202406132
4404,2250,0.1583,0.25,4.927850577
5293,2250,0.1583,0.25,5.072623708
6181,2250,0.1583,0.25,5.507113123
7069,2250,0.1583,0.25,6.432580363
3844,2250,0.175,0.25,6.078514058
4818,2250,0.175,0.25,5.714888693
5793,2250,0.175,0.25,5.459696424
6767,2250,0.175,0.25,5.911700732
7741,2250,0.175,0.25,6.022058027
3281,2250,0.125,0.3,4.825276262
4201,2250,0.125,0.3,4.909220961
5120,2250,0.125,0.3,5.13915462
6040,2250,0.125,0.3,6.669869293
6960,2250,0.125,0.3,8.076236418
3651,2250,0.1417,0.3,5.047673073
4669,2250,0.1417,0.3,4.904512417
5687,2250,0.1417,0.3,5.516242685
6705,2250,0.1417,0.3,7.075527717
7723,2250,0.1417,0.3,7.59192573
4019,2250,0.1583,0.3,5.453861438
5135,2250,0.1583,0.3,5.389195579
6251,2250,0.1583,0.3,6.119260822
7366,2250,0.1583,0.3,6.885928649
8482,2250,0.1583,0.3,7.311911688
4389,2250,0.175,0.3,6.280492636
5603,2250,0.175,0.3,5.93814135
6817,2250,0.175,0.3,6.376127772
8031,2250,0.175,0.3,6.644718546
9245,2250,0.175,0.3,7.234168024
3211,2500,0.1583,0.1,5.088270753
3069,2500,0.175,0.1,6.306275746
3373,2500,0.175,0.1,6.029882549
3678,2500,0.175,0.1,5.82770273
3335,2500,0.125,0.15,4.796019504
3703,2500,0.125,0.15,4.808624709
3384,2500,0.1417,0.15,4.405005598
3822,2500,0.1417,0.15,4.366178835
4261,2500,0.1417,0.15,4.342198659
3292,2500,0.1583,0.15,5.045031744
3800,2500,0.1583,0.15,4.827494427
4307,2500,0.1583,0.15,4.734680381
4815,2500,0.1583,0.15,4.622337653
3061,2500,0.175,0.15,6.313645767
3639,2500,0.175,0.15,5.848451623
4217,2500,0.175,0.15,5.483562571
4795,2500,0.175,0.15,5.3625627
5373,2500,0.175,0.15,5.010611825
3310,2500,0.125,0.2,4.792102588
3915,2500,0.125,0.2,4.762794809
4520,2500,0.125,0.2,4.79382782
5125,2500,0.125,0.2,5.24334782
3025,2500,0.1417,0.2,4.538981575
3712,2500,0.1417,0.2,4.400368622
4400,2500,0.1417,0.2,4.36090842
5087,2500,0.1417,0.2,4.525481916
5774,2500,0.1417,0.2,5.271604267
3343,2500,0.1583,0.2,5.011898345
4112,2500,0.1583,0.2,4.758286707
4881,2500,0.1583,0.2,4.62989031
5650,2500,0.1583,0.2,4.875986827
6420,2500,0.1583,0.2,5.571334742
3663,2500,0.175,0.2,5.835683074
4514,2500,0.175,0.2,5.511217142
5366,2500,0.175,0.2,5.014528451
6217,2500,0.175,0.2,5.261942953
7069,2500,0.175,0.2,5.556475983
3180,2500,0.125,0.25,4.745177393
4022,2500,0.125,0.25,4.671961006
4864,2500,0.125,0.25,4.671909103
5706,2500,0.125,0.25,6.025000131
6548,2500,0.125,0.25,7.550148165
3542,2500,0.1417,0.25,4.67659976
4479,2500,0.1417,0.25,4.48003186
5415,2500,0.1417,0.25,4.975272393
6352,2500,0.1417,0.25,6.306466669
7288,2500,0.1417,0.25,7.114716235
3902,2500,0.1583,0.25,4.993803931
4933,2500,0.1583,0.25,4.897413699
5963,2500,0.1583,0.25,5.311619299
6994,2500,0.1583,0.25,6.331750486
8024,2500,0.1583,0.25,6.782534738
4264,2500,0.175,0.25,5.78253459
5389,2500,0.175,0.25,5.396712978
6514,2500,0.175,0.25,5.850623938
7639,2500,0.175,0.25,5.946382983
8764,2500,0.175,0.25,6.585990239
3655,2500,0.125,0.3,4.808417709
4734,2500,0.125,0.3,4.939795212
5813,2500,0.125,0.3,6.15235662
6892,2500,0.125,0.3,8.050073527
7971,2500,0.125,0.3,8.797814128
4059,2500,0.1417,0.3,4.953157051
5245,2500,0.1417,0.3,5.11298656
6431,2500,0.1417,0.3,6.648114228
7616,2500,0.1417,0.3,7.541034087
8802,2500,0.1417,0.3,8.222794526
4461,2500,0.1583,0.3,5.377833697
5753,2500,0.1583,0.3,5.691230359
7045,2500,0.1583,0.3,6.603556095
8337,2500,0.1583,0.3,7.18735366
9629,2500,0.1583,0.3,8.024767372
4865,2500,0.175,0.3,6.041398934
6264,2500,0.175,0.3,6.062338842
7663,2500,0.175,0.3,6.386065073
9061,2500,0.175,0.3,6.989527494
10460,2500,0.175,0.3,7.970687812
3058,2750,0.1417,0.1,4.525234794
3017,2750,0.1583,0.1,5.208116343
3303,2750,0.1583,0.1,5.037885325
3590,2750,0.1583,0.1,4.855272832
3066,2750,0.175,0.1,6.309039504
3419,2750,0.175,0.1,6.000610718
3772,2750,0.175,0.1,5.771008949
4125,2750,0.175,0.1,5.535029983
3288,2750,0.125,0.15,4.790798144
3713,2750,0.125,0.15,4.811562717
4138,2750,0.125,0.15,4.752997672
3253,2750,0.1417,0.15,4.448668571
3756,2750,0.1417,0.15,4.388192289
4260,2750,0.1417,0.15,4.342064057
4764,2750,0.1417,0.15,4.351641352
3058,2750,0.1583,0.15,5.178840685
3640,2750,0.1583,0.15,4.837807874
4222,2750,0.1583,0.15,4.736779038
4804,2750,0.1583,0.15,4.622851985
5386,2750,0.1583,0.15,4.716533746
3370,2750,0.175,0.15,6.031791581
4030,2750,0.175,0.15,5.606435094
4691,2750,0.175,0.15,5.42495332
5352,2750,0.175,0.15,5.029628432
6013,2750,0.175,0.15,5.290032019
3664,2750,0.125,0.2,4.793529477
4360,2750,0.125,0.2,4.776726188
5056,2750,0.125,0.2,5.13845375
5752,2750,0.125,0.2,6.206721337
3322,2750,0.1417,0.2,4.426435617
4109,2750,0.1417,0.2,4.333557998
4896,2750,0.1417,0.2,4.386564339
5683,2750,0.1417,0.2,5.178969193
6470,2750,0.1417,0.2,6.30490788
3673,2750,0.1583,0.2,4.827170707
4551,2750,0.1583,0.2,4.705895215
5428,2750,0.1583,0.2,4.712087248
6305,2750,0.1583,0.2,5.429941937
7183,2750,0.1583,0.2,6.200317547
4027,2750,0.175,0.2,5.609857101
4995,2750,0.175,0.2,5.203043876
5963,2750,0.175,0.2,5.307171375
6932,2750,0.175,0.2,5.561738954
7900,2750,0.175,0.2,5.849857946
3499,2750,0.125,0.25,4.684577622
4466,2750,0.125,0.25,4.680269483
5433,2750,0.125,0.25,5.593507991
6400,2750,0.125,0.25,7.211866164
7367,2750,0.125,0.25,8.2765942
3895,2750,0.1417,0.25,4.573465237
4965,2750,0.1417,0.25,4.521949656
6035,2750,0.1417,0.25,5.696096033
7105,2750,0.1417,0.25,6.951971408
8175,2750,0.1417,0.25,7.535906519
4288,2750,0.1583,0.25,4.90221766
5461,2750,0.1583,0.25,5.036844158
6634,2750,0.1583,0.25,6.140333343
7806,2750,0.1583,0.25,6.644889443
8979,2750,0.1583,0.25,7.425953295
4684,2750,0.175,0.25,5.665501954
5960,2750,0.175,0.25,5.515366695
7236,2750,0.175,0.25,5.784434122
8512,2750,0.175,0.25,6.3513485
9787,2750,0.175,0.25,7.186989463
4030,2750,0.125,0.3,4.918387812
5268,2750,0.125,0.3,5.332767942
6506,2750,0.125,0.3,7.509521442
7743,2750,0.125,0.3,8.617896061
8981,2750,0.125,0.3,9.298917081
4468,2750,0.1417,0.3,4.838363733
5821,2750,0.1417,0.3,5.697123713
7174,2750,0.1417,0.3,7.196087187
8528,2750,0.1417,0.3,8.065858518
9881,2750,0.1417,0.3,8.989357736
4903,2750,0.1583,0.3,5.233993307
6371,2750,0.1583,0.3,5.969224359
7839,2750,0.1583,0.3,6.884807343
9307,2750,0.1583,0.3,7.781199739
10775,2750,0.1583,0.3,8.66972006
5341,2750,0.175,0.3,5.859109571
6925,2750,0.175,0.3,6.20944154
8508,2750,0.175,0.3,6.630794039
10091,2750,0.175,0.3,7.600079471
11675,2750,0.175,0.3,8.840396629
