CSTR_Steady_State.CA0,CSTR_Steady_State.cp,CSTR_Steady_State.cpc,CSTR_Steady_State.delH_neg,CSTR_Steady_State.E_R,CSTR_Steady_State.ha,CSTR_Steady_State.k0,CSTR_Steady_State.q0,CSTR_Steady_State.qc0,CSTR_Steady_State.rho,CSTR_Steady_State.rho_c,CSTR_Steady_State.T0,CSTR_Steady_State.TC0,CSTR_Steady_State.V,CSTR_Steady_State.a1,CSTR_Steady_State.CA,CSTR_Steady_State.k1,CSTR_Steady_State.q,CSTR_Steady_State.qc,CSTR_Steady_State.T,CSTR_Steady_State.XA,graph.error
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,100.317470024488,0.996835346581107,0.0436894471542018,21.8195519394099,100,80,456.264211990797,0.956310552845798,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,61.136816368502,1.63567561969943,0.0861274479819207,17.3556640522099,100,80,451.548546454113,0.913872552018079,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,63.1618872946882,1.58323324845313,0.0818164617671016,17.7678021575834,100,80,452.027578659351,0.918183538232898,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,86.7067868652319,1.1533122563454,0.0524982826300607,20.8152588771607,100,80,455.285383557279,0.947501717369939,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,133.460535729984,0.749285168480958,0.031118586904948,23.3290950860485,100,80,457.661072617775,0.968881413095052,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,144.846027769542,0.690388280161229,0.0283334991273249,23.6761143201298,100,80,457.970548610834,0.971666500872675,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,90.0093941697895,1.11099514581072,0.0500397977584279,21.0912357899369,100,80,455.558567782632,0.949960202241572,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,148.89206649684,0.671627457075575,0.0274611135836971,23.7857731879714,100,80,458.06748716502,0.972538886416303,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,119.952711692058,0.833661853820526,0.0352381574244236,22.8242679232544,100,80,457.203310321113,0.964761842575576,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,93.3974077088746,1.07069352836543,0.0477526563561265,21.3509602615408,100,80,455.812712503825,0.952247343643874,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,128.201631185227,0.780021276449432,0.0326009993982477,23.1462782495682,100,80,457.496348517453,0.967399000601752,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,104.192503467292,0.959761947090484,0.0417086012765855,22.0513656792218,100,80,456.484321478906,0.958291398723415,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,66.3202659614944,1.50783472518129,0.0759636423230853,18.3415916460323,100,80,452.677937733912,0.924036357676915,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,143.822048904757,0.695303680913507,0.0285632253516145,23.6473142256559,100,80,457.945021677009,0.971436774648386,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,64.3666799875753,1.55359884989102,0.0794703477079769,17.995816683054,100,80,452.288276359476,0.920529652292023,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,122.943711436327,0.813380357821636,0.0342333933246985,22.9464716120619,100,80,457.314958639723,0.965766606675301,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,113.729837829587,0.879276730789331,0.0375332248118381,22.5473468859483,100,80,456.94828487288,0.962466775188162,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,81.9661060431814,1.22001647787584,0.0565005012787926,20.3730039425248,100,80,454.840661275739,0.943499498721207,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,71.2610038152249,1.40329204819081,0.0684234861815822,19.1056315174216,100,80,453.515791868513,0.931576513818418,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,67.3962275085022,1.48376257391239,0.0741720562517643,18.5205712533166,100,80,452.877016873545,0.925827943748236,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,94.1248295978293,1.06241892205568,0.0472893560462218,21.4039246884862,100,80,455.864193941733,0.952710643953778,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,83.5322688121965,1.19714215143405,0.0551098355969554,20.5256980360979,100,80,454.995190567906,0.944890164403045,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,121.35273444343,0.824044060141191,0.0347605040710613,22.8822882317205,100,80,457.256386653952,0.965239495928939,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,131.001011495013,0.763352884521862,0.0317945482856277,23.2455708361311,100,80,457.585960507759,0.968205451714372,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,50.4616840451312,1.98170159978338,0.122238419451567,14.2300721508464,100,80,447.535933693515,0.877761580548433,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,51.8392201391231,1.92904136542999,0.115522481237205,14.7693652543954,100,80,448.282201608267,0.884477518762795,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,111.892438770222,0.893715438675498,0.0382701747688389,22.459076757173,100,80,456.8663957771,0.961729825231161,0
1,1,1,200000,10000,700000,72000000000,100,80,1000,1000,350,350,103.637498226314,0.964901717152894,0.041980979046317,22.0193577992421,100,80,456.454055150695,0.958019020953683,0
